game_uuid,genre_id
3A729023-69A6-4C4E-B610-F0677D3C1BEA,32
3A729023-69A6-4C4E-B610-F0677D3C1BEA,13
A8A33020-9E89-4E14-82C1-00D870156EA8,35
A8A33020-9E89-4E14-82C1-00D870156EA8,15
8FA70B30-46D8-4809-A04C-2EC4C081D693,31
8FA70B30-46D8-4809-A04C-2EC4C081D693,15
CD7645F5-BEF8-409E-923F-B4A4D0088F44,8
0B16ADBF-DE3C-44F9-B1BF-BD1CB270C98C,9
0B16ADBF-DE3C-44F9-B1BF-BD1CB270C98C,31
BCDE55F6-70CF-4DAC-BD2E-22037FD627B3,5
74D295D3-401C-4C4F-8A5C-2A6619CAB434,12
74D295D3-401C-4C4F-8A5C-2A6619CAB434,31
87AF2CB1-765E-4485-927D-C053585CD2C2,35
87AF2CB1-765E-4485-927D-C053585CD2C2,15
72FCBF8D-8FA9-4194-BBAC-C86D9072919E,31
72FCBF8D-8FA9-4194-BBAC-C86D9072919E,5
72FCBF8D-8FA9-4194-BBAC-C86D9072919E,13
72FCBF8D-8FA9-4194-BBAC-C86D9072919E,32
72FCBF8D-8FA9-4194-BBAC-C86D9072919E,33
7C5EFC31-9AEF-44A1-AE13-F87D1D5F5CB2,7
7C5EFC31-9AEF-44A1-AE13-F87D1D5F5CB2,9
7C5EFC31-9AEF-44A1-AE13-F87D1D5F5CB2,15
7C5EFC31-9AEF-44A1-AE13-F87D1D5F5CB2,11
E3734582-3EEE-4947-87B6-5404E2E6D4B2,14
5B61D5D0-B411-49E1-9C97-5DFA5955B7E2,9
5B61D5D0-B411-49E1-9C97-5DFA5955B7E2,31
5B61D5D0-B411-49E1-9C97-5DFA5955B7E2,15
5B61D5D0-B411-49E1-9C97-5DFA5955B7E2,12
5B61D5D0-B411-49E1-9C97-5DFA5955B7E2,24
837E8D3C-D769-4FAE-A116-216F9DAF5DDA,15
837E8D3C-D769-4FAE-A116-216F9DAF5DDA,31
837E8D3C-D769-4FAE-A116-216F9DAF5DDA,24
837E8D3C-D769-4FAE-A116-216F9DAF5DDA,16
