Start Date,End Date,Concert Name,Bands,Venue,Location
04/04/2007,,Brand New / Manchester Orchestra / Kevin Devine,Brand New / Kevin Devine / Manchester Orchestra,AVALON Hollywood,"Los Angeles, California, United States"
11/05/2006,,,The Who / Rose Hill Drive,Hollywood Bowl,"Los Angeles, California, United States"
08/13/2006,,,Death Cab for Cutie / Spoon / Mates of State,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
08/08/2006,,Ventura County Fair,The All-American Rejects / Alana Grace,Seaside Park,"Ventura, California, United States"
04/18/2006,,,Yellowcard / Mae / Over It,SOMA San Diego,"San Diego, California, United States"
03/06/2006,,,The Rolling Stones / Queens of the Stone Age,The Forum,"Inglewood, California, United States"
11/29/2005,,,Paul Mccartney,Staples Center,"Los Angeles, California, United States"
10/22/2005,,Foozer Tour,Foo Fighters / Weezer / Hot Hot Heat,Long Beach Arena,"Long Beach, California, United States"
09/23/2005,,The Eagles Farewell Tour,The Eagles,The Staples Center,"Los Angeles, California, United States"
09/12/2005,,"",Oasis / Jet / Kasabian,Hollywood Bowl,"Los Angeles, California, United States"
05/14/2005,,,Jimmy Eat World / Taking Back Sunday / Mates of State,Long Beach Arena,"Long Beach, California, United States"
02/19/2005,,Mae / Name Taken / Relient K,Name Taken / Relient K / Mae,AVALON Hollywood,"Los Angeles, California, United States"
09/21/2004,,Lord of the Rings Symphony,Hollywood Bowl Orchestra / John Mauceri,Hollywood Bowl,"Los Angeles, California, United States"
08/19/2004,,,Van Halen / Shinedown,Staples Center,"Los Angeles, California, United States"
05/20/2004,,,Something Corporate,The Majestic Ventura Theater ,"Ventura, California, United States"
07/09/2003,,Vans Warped Tour 2003,Andrew W.K. / The Ataris / Dropkick Murphys / Pennywise / Glassjaw / Rancid / Simple Plan / Sum 41 / Face To Face / Mest / Poison the Well / Talib Kweli / Thrice / The Used / Mad Caddies / Rufio / Slick Shoes / S.T.U.N. / Tsunami Bomb / The Unseen / Vendetta Red / Less Than Jake / Avenged Sevenfold / Bowling For Soup,Seaside Park,"Ventura, California, United States"
06/07/2003,,The Honda Civic Tour,Good Charlotte / New Found Glory / The Movielife / MxPx,Universal Amphitheatre,"Universal City, California, United States"
04/11/2003,,,Yellowcard / Further Seems Forever / The Ataris / The Juliana Theory,The Majestic Ventura Theater ,"Ventura, California, United States"
01/19/2003,,,Something Corporate / The Juliana Theory / Vendetta Red / Red West,The Majestic Ventura Theater ,"Ventura, California, United States"
10/07/2002,,,New Found Glory / Something Corporate / Finch / Further Seems Forever,House of Blues Anaheim,"Anaheim, California, United States"
04/18/2002,,Honda Civic Tour,Incubus / Hoobastank / Phantom Planet,Great Western Forum,"Inglewood, California, United States"
12/08/2001,,KROQ Almost Acoustic Christmas 2001 (Day 1 of 2),Linkin Park / blink-182 / System of a Down / P.O.D. / Sum 41 / Bad Religion / Staind / Puddle of Mudd / Alien Ant Farm,Universal Amphitheatre,"Universal City, California, United States"
11/23/2001,,Extended Midget Tour,Jimmy Eat World / Weezer / Tenacious D,Long Beach Arena,"Long Beach, California, United States"
04/02/2001,,,B.B. King,Fred Kavli Theatre-Thousand Oaks Civic Arts Plaza,"Thousand Oaks, California, United States"
08/11/1998,,,James Taylor,"Gibson Amphitheatre, Universal Studios Hollywood","Universal City, California, United States"
